model_seed,split_seed,split_assignment_sha256,rank,passes_selection_constraint,imbalance_strategy,class_weight_mode,sampler,model_name,high_acuity_recall,acuity1_recall,severe_under_triage_rate,under_triage_rate,over_triage_rate,specificity,high_acuity_precision,high_acuity_f1,predicted_urgent_rate,accuracy,balanced_accuracy,macro_f1,weighted_f1,matthews_corrcoef,cohen_kappa,log_loss,auroc,pr_auc,brier_mean,selected_decision_rule_type,decision_rule_tuned_on,train_seconds,infer_seconds,class_1_precision,class_1_recall,class_1_f1,class_1_support,class_2_precision,class_2_recall,class_2_f1,class_2_support,class_3_precision,class_3_recall,class_3_f1,class_3_support,class_4_precision,class_4_recall,class_4_f1,class_4_support,class_5_precision,class_5_recall,class_5_f1,class_5_support
42,42,498990bd6b0246b4842ccbc4c014d4b021de94c56ddd077c65b457d8c5a079d5,1,True,class_weight_balanced,balanced,,catboost,0.9591996026396084,0.8340425531914893,6.862475981334065e-05,0.011820614877847928,0.7459597172659895,0.22348681977599275,0.28259051760180615,0.43656445284115675,0.8206835026077409,0.2422196678561625,0.2980250810776863,0.12354755243531146,0.2708697418750006,-0.03819165118745225,-0.026872168735309954,1.1685755020507975,0.8033948534803397,0.6316477025812499,0.13243874040266185,ordinal_cost_sensitive,validation,111.176,3.655,0.014714162381291994,0.8340425531914893,0.028918151303898788,470,0.18090423143225506,0.45057006783085585,0.258157875696404,27716,0.7393307468477207,0.19249709581291985,0.3054620501723171,79196,0.39436619718309857,0.013015688553166763,0.02519968500393745,8605,0.0,0.0,0.0,589
42,42,498990bd6b0246b4842ccbc4c014d4b021de94c56ddd077c65b457d8c5a079d5,2,False,class_weight_balanced,balanced,,random_forest,0.9985098985311857,0.0,0.0,0.0043919846280538015,0.7436007411474059,0.024459780518158163,0.24607421396845383,0.3948428008249274,0.9810938786714246,0.2520072742245402,0.20400017360211212,0.08628011377383597,0.12105431560962734,0.04443664050411169,0.007836370840177853,0.7152014661771727,0.7978355679904924,0.616329032163321,0.08036659864952427,high_acuity_threshold,validation,189.116,9.271,0.0,0.0,0.0,470,0.24196481656349456,0.9984846298167124,0.389533247001858,27716,0.7731397459165155,0.021516238193848174,0.041867321867321866,79196,0.0,0.0,0.0,8605,0.0,0.0,0.0,589
42,42,498990bd6b0246b4842ccbc4c014d4b021de94c56ddd077c65b457d8c5a079d5,3,False,unbalanced,,,hist_gradient_boosting,0.9972681473071737,0.02127659574468085,0.0004632171287400494,0.005121122701070546,0.7392773812791655,0.033567145604706417,0.2475865835183032,0.39668919967823424,0.9738882788910239,0.25560149601976395,0.20898278481950613,0.09501978335992656,0.13019904009170513,0.045031569652145234,0.009746665633078577,0.6996709843568714,0.8052177636641865,0.6281100783521095,0.0792130514794695,high_acuity_threshold,validation,93.236,11.167,0.03571428571428571,0.02127659574468085,0.02666666666666667,470,0.24314802387595805,0.993541636599798,0.3906844106463878,27716,0.7580047185709471,0.02839789888378201,0.05474483648357533,79196,0.0,0.0,0.0,8605,0.012987012987012988,0.001697792869269949,0.003003003003003003,589
42,42,498990bd6b0246b4842ccbc4c014d4b021de94c56ddd077c65b457d8c5a079d5,4,False,unbalanced,,,random_forest_unweighted,0.9957780458383595,0.0,0.0,0.005052497941257205,0.7321918748284381,0.04354564996040276,0.2492451690821256,0.39869596715769134,0.965962119132583,0.2627556272303047,0.2068240102818597,0.09330121215635331,0.14308475205645899,0.05637690655954817,0.013355041437943416,0.7067106872254704,0.8019193414294021,0.6241375277586432,0.07970588894560134,high_acuity_threshold,validation,228.101,10.026,0.0,0.0,0.0,470,0.24507139812446718,0.9957064511473517,0.39333257318776543,27716,0.7645576002016637,0.03829738875700793,0.07294109159121244,79196,1.0,0.00011621150493898897,0.00023239600278875203,8605,0.0,0.0,0.0,589
42,42,498990bd6b0246b4842ccbc4c014d4b021de94c56ddd077c65b457d8c5a079d5,5,False,class_weight_balanced,balanced,,extra_trees,0.9936848080607393,0.0,2.5734284930002747e-05,0.005627230304693934,0.7358375651935218,0.03699513519628917,0.24757796478325436,0.39639384632803537,0.9704227285204502,0.25853520450178424,0.20529734676104572,0.0909097167876211,0.13583691770878206,0.04727944102940908,0.010476559301954902,0.7506208149057599,0.7782689152650704,0.5897266238094057,0.08284331171653538,high_acuity_threshold,validation,234.865,14.862,0.0,0.0,0.0,470,0.24342844006684292,0.9933612353875018,0.39103233274391586,27716,0.7585905649388468,0.03289307540784888,0.06305216023236113,79196,0.14285714285714285,0.00023242300987797793,0.00046409096182851837,8605,0.0,0.0,0.0,589
42,42,498990bd6b0246b4842ccbc4c014d4b021de94c56ddd077c65b457d8c5a079d5,6,False,class_weight_balanced,balanced,,raw_tfidf_svd_lightgbm,0.9926559284751295,0.023404255319148935,0.002170258029096898,0.03384058468295361,0.7166312105407631,0.05833239054191651,0.2515803008641076,0.40142325267756584,0.9539956766401317,0.2495282047762833,0.22993815060663772,0.12358475910110275,0.11556583821227612,0.0766508494378253,0.020690941179617006,0.9344761273296683,0.7935574607760304,0.609543452215723,0.11306312714068367,high_acuity_threshold,validation,192.001,9.789,0.12222222222222222,0.023404255319148935,0.039285714285714285,470,0.2469875723297607,0.9902583345360081,0.3953644148978313,27716,0.7464985994397759,0.006730137885751806,0.013340007508447002,79196,0.2419035029742234,0.12760023242300988,0.16707242848447962,8605,0.00909090909090909,0.001697792869269949,0.002861230329041488,589
42,42,498990bd6b0246b4842ccbc4c014d4b021de94c56ddd077c65b457d8c5a079d5,7,False,class_weight_balanced,balanced,,raw_tfidf_word_char_linear_svm,0.991875399134322,0.0,8.578094976667581e-06,0.005987510293713972,0.7417221383475158,0.026077610589433194,0.24514652496448677,0.3931293416204967,0.9782631073291244,0.25229035135877026,0.2032110468178932,0.08697464785186554,0.1241718778411443,0.03470914761058434,0.006564603381692291,0.7696907009618914,0.7181237373214557,0.516232052578335,0.08703933971066895,high_acuity_threshold,validation,434.069,3.621,0.0,0.0,0.0,470,0.24103400501569597,0.9917737047192957,0.3878158551898306,27716,0.7588792423046566,0.02428152937017021,0.047057384069497124,79196,0.0,0.0,0.0,8605,0.0,0.0,0.0,589
42,42,498990bd6b0246b4842ccbc4c014d4b021de94c56ddd077c65b457d8c5a079d5,8,False,smote,,SMOTE,raw_tfidf_svd_catboost_smote,0.9907755623359115,0.18936170212765957,0.009461638759264342,0.03835266264068076,0.7261357397749107,0.058038239619866504,0.2511647149821021,0.4007404643687398,0.9537640680757618,0.23551159758440846,0.25810888154095757,0.12826595093148846,0.1057540079949091,0.03399499519512518,0.010454756011663124,0.9957281359887467,0.7844665806579725,0.600903685587254,0.11523645957605273,high_acuity_threshold,validation,931.968,5.578,0.048793859649122806,0.18936170212765957,0.07759372275501308,470,0.23978164261809404,0.9461321980083706,0.38259968776900743,27716,0.6761904761904762,0.0026895297742310217,0.005357749242243212,79196,0.23355774210253755,0.10482277745496804,0.144702013315152,8605,0.023083264633140973,0.04753820033955857,0.03107658157602664,589
42,42,498990bd6b0246b4842ccbc4c014d4b021de94c56ddd077c65b457d8c5a079d5,9,False,class_weight_balanced,balanced,,raw_tfidf_svd_catboost,0.9901014688143049,0.33191489361702126,0.016487098545155093,0.03936487784792753,0.740478314575899,0.05329788437606064,0.25009409782589215,0.39932175256846864,0.9571953060664288,0.22015680757617348,0.28009359398368,0.11810388482438121,0.09552386950247232,-0.007262232605710379,-0.0024186843533857694,1.1735125768769874,0.7820464191023914,0.6020447804321465,0.13260613153877626,high_acuity_threshold,validation,303.148,7.683,0.042692939244663386,0.33191489361702126,0.07565470417070805,470,0.23018196642330357,0.8963775436570933,0.36630101439018636,27716,0.0,0.0,0.0,79196,0.2266766579243162,0.07030796048808832,0.1073265921589498,8605,0.025850926324859975,0.10186757215619695,0.041237113402061855,589
42,42,498990bd6b0246b4842ccbc4c014d4b021de94c56ddd077c65b457d8c5a079d5,10,False,class_weight_balanced,balanced,,lightgbm,0.9897821613567019,0.08297872340425531,0.006613711227010706,0.06569105133132035,0.6764857260499588,0.11612173322774069,0.263129102844639,0.4157365323001267,0.9094839418062037,0.2578232226187208,0.2712334128153496,0.15666821660815355,0.1309609401467122,0.10504213436976713,0.039416280571679785,0.9795504942634817,0.8112718538923315,0.6355528574030942,0.1175769730533885,high_acuity_threshold,validation,59.8,11.638,0.06598984771573604,0.08297872340425531,0.07351555136663525,470,0.2559350487987632,0.9735892625198441,0.4053203553913285,27716,0.8509369676320273,0.012614273448153947,0.024860022396416572,79196,0.2326554328878559,0.2326554328878559,0.2326554328878559,8605,0.04139715394566624,0.05432937181663837,0.04698972099853157,589
