model_name,status,rank,feature,importance,method
logistic_regression_unweighted,available,1,categorical__presenting_complaint_psychiatric problem,1.3615895119019514,coefficient
logistic_regression_unweighted,available,2,categorical__presenting_complaint_collapse faint,1.2944627480744368,coefficient
logistic_regression_unweighted,available,3,numeric__o2sat,1.225009681313414,coefficient
logistic_regression_unweighted,available,4,numeric__pain,1.161032147859127,coefficient
logistic_regression_unweighted,available,5,categorical__presenting_complaint_burn,1.100454318668826,coefficient
logistic_regression_unweighted,available,6,categorical__presenting_complaint_chest pain,1.026676748363866,coefficient
logistic_regression_unweighted,available,7,categorical__presenting_complaint_injury,0.8588481539112174,coefficient
logistic_regression_unweighted,available,8,categorical__presenting_complaint_limb pain,0.8282386009684729,coefficient
logistic_regression_unweighted,available,9,categorical__presenting_complaint_chemical injury,0.811724131780078,coefficient
logistic_regression_unweighted,available,10,categorical__presenting_complaint_deliberate self harm overdose,0.7821473440262758,coefficient
logistic_regression_unweighted,available,11,categorical__presenting_complaint_testicular pain,0.777379332120441,coefficient
logistic_regression_unweighted,available,12,categorical__presenting_complaint_rash,0.740293814555795,coefficient
logistic_regression_unweighted,available,13,categorical__presenting_complaint_nose bleed,0.689076605017452,coefficient
logistic_regression_unweighted,available,14,categorical__presenting_complaint_back pain,0.6743697775178166,coefficient
logistic_regression_unweighted,available,15,categorical__presenting_complaint_abdominal pain,0.6283858220319101,coefficient
logistic_regression_unweighted,available,16,categorical__presenting_complaint_sore throat,0.6045005167248478,coefficient
logistic_regression_unweighted,available,17,categorical__presenting_complaint_vomiting,0.5975420463323386,coefficient
logistic_regression_unweighted,available,18,categorical__presenting_complaint_dental problem,0.5737494414529021,coefficient
logistic_regression_unweighted,available,19,categorical__season_summer,0.5464239947144505,coefficient
logistic_regression_unweighted,available,20,categorical__presenting_complaint_wound,0.5298285081937828,coefficient
logistic_regression_unweighted,available,21,categorical__presenting_complaint_diarrhoea,0.5295147796192935,coefficient
logistic_regression_unweighted,available,22,categorical__season_winter,0.524713081651552,coefficient
logistic_regression_unweighted,available,23,numeric__heartrate,0.5198709136807165,coefficient
logistic_regression_unweighted,available,24,categorical__season_spring,0.5136895668575904,coefficient
logistic_regression_unweighted,available,25,categorical__time_bin_afternoon,0.5024984020500031,coefficient
logistic_regression_unweighted,available,26,categorical__season_autumn,0.48162012788650765,coefficient
logistic_regression_unweighted,available,27,categorical__time_bin_night,0.47461199798444276,coefficient
logistic_regression_unweighted,available,28,categorical__presenting_complaint_unwell adult,0.44282869410721676,coefficient
logistic_regression_unweighted,available,29,categorical__time_bin_morning,0.44084633692052627,coefficient
logistic_regression_unweighted,available,30,categorical__presenting_complaint_other,0.4288644538628777,coefficient
logistic_regression_unweighted,available,31,categorical__presenting_complaint_unwell child,0.3985697137032691,coefficient
logistic_regression_unweighted,available,32,categorical__time_bin_late night,0.38132238356903175,coefficient
logistic_regression_unweighted,available,33,categorical__presenting_complaint_neck pain,0.3769726301751888,coefficient
logistic_regression_unweighted,available,34,numeric__sbp,0.3572908336423571,coefficient
logistic_regression_unweighted,available,35,categorical__presenting_complaint_limping child,0.35666326364961826,coefficient
logistic_regression_unweighted,available,36,categorical__time_bin_evening,0.3557959446172877,coefficient
logistic_regression_unweighted,available,37,categorical__presenting_complaint_foreign body,0.3519254253917386,coefficient
logistic_regression_unweighted,available,38,categorical__presenting_complaint_fit seizure,0.33215896978562903,coefficient
logistic_regression_unweighted,available,39,categorical__time_bin_early morning,0.3081541354755787,coefficient
logistic_regression_unweighted,available,40,categorical__presenting_complaint_vomiting blood,0.3003712396799029,coefficient
logistic_regression_unweighted,available,41,categorical__presenting_complaint_eye problem,0.2757456353070837,coefficient
logistic_regression_unweighted,available,42,numeric__temperature,0.24295726817120566,coefficient
logistic_regression_unweighted,available,43,categorical__presenting_complaint_pregnancy,0.24082323618483917,coefficient
logistic_regression_unweighted,available,44,categorical__presenting_complaint_query covid 19,0.2355156993212073,coefficient
logistic_regression_unweighted,available,45,categorical__presenting_complaint_rectal bleeding,0.2312959205708837,coefficient
logistic_regression_unweighted,available,46,categorical__presenting_complaint_ear problem,0.2171137214320345,coefficient
logistic_regression_unweighted,available,47,numeric__resprate,0.20715120406327758,coefficient
logistic_regression_unweighted,available,48,categorical__presenting_complaint_breathing problem shortness of breath,0.2006031459801766,coefficient
logistic_regression_unweighted,available,49,categorical__presenting_complaint_nasal problem,0.19258317878063655,coefficient
logistic_regression_unweighted,available,50,categorical__presenting_complaint_vaginal bleeding,0.17611861468462403,coefficient
logistic_regression,available,1,categorical__presenting_complaint_burn,2.3297774317442483,coefficient
logistic_regression,available,2,categorical__presenting_complaint_psychiatric problem,2.1264790898509105,coefficient
logistic_regression,available,3,categorical__presenting_complaint_collapse faint,1.6697953443888287,coefficient
logistic_regression,available,4,categorical__presenting_complaint_limping child,1.4188595660805814,coefficient
logistic_regression,available,5,numeric__o2sat,1.299986352580121,coefficient
logistic_regression,available,6,numeric__pain,1.283774775831602,coefficient
logistic_regression,available,7,categorical__presenting_complaint_chemical injury,1.2298119003073675,coefficient
logistic_regression,available,8,categorical__presenting_complaint_deliberate self harm overdose,1.2269846714918835,coefficient
logistic_regression,available,9,categorical__presenting_complaint_nose bleed,1.17689906749865,coefficient
logistic_regression,available,10,categorical__presenting_complaint_diarrhoea,1.1303370276877653,coefficient
logistic_regression,available,11,categorical__presenting_complaint_testicular pain,1.0771577065509745,coefficient
logistic_regression,available,12,categorical__presenting_complaint_chest pain,0.9739777332663172,coefficient
logistic_regression,available,13,categorical__presenting_complaint_rash,0.9629863938597586,coefficient
logistic_regression,available,14,categorical__presenting_complaint_injury,0.9361111186592508,coefficient
logistic_regression,available,15,categorical__presenting_complaint_vomiting blood,0.8548976149832158,coefficient
logistic_regression,available,16,categorical__presenting_complaint_insects bites stings,0.844103052420618,coefficient
logistic_regression,available,17,categorical__presenting_complaint_dental problem,0.8338166446054118,coefficient
logistic_regression,available,18,categorical__presenting_complaint_neck pain,0.7877228003987088,coefficient
logistic_regression,available,19,categorical__presenting_complaint_vomiting,0.7841132921539226,coefficient
logistic_regression,available,20,categorical__presenting_complaint_sore throat,0.767939985306744,coefficient
logistic_regression,available,21,categorical__presenting_complaint_limb pain,0.7382485581115411,coefficient
logistic_regression,available,22,categorical__presenting_complaint_back pain,0.6707531798430397,coefficient
logistic_regression,available,23,categorical__presenting_complaint_unwell child,0.6404589547940336,coefficient
logistic_regression,available,24,categorical__presenting_complaint_wound,0.62250953069523,coefficient
logistic_regression,available,25,categorical__presenting_complaint_abdominal pain,0.57675154912409,coefficient
logistic_regression,available,26,categorical__presenting_complaint_fit seizure,0.5668509953727686,coefficient
logistic_regression,available,27,categorical__presenting_complaint_unwell adult,0.5449657755937894,coefficient
logistic_regression,available,28,categorical__presenting_complaint_other,0.541220810400985,coefficient
logistic_regression,available,29,categorical__presenting_complaint_foreign body,0.4916697588310168,coefficient
logistic_regression,available,30,categorical__presenting_complaint_nasal problem,0.43766008819409175,coefficient
logistic_regression,available,31,numeric__heartrate,0.4115968441488657,coefficient
logistic_regression,available,32,categorical__presenting_complaint_pregnancy,0.3836087828317358,coefficient
logistic_regression,available,33,categorical__presenting_complaint_insect bites stings,0.3690374310682767,coefficient
logistic_regression,available,34,categorical__time_bin_night,0.34136928080849754,coefficient
logistic_regression,available,35,categorical__presenting_complaint_query covid 19,0.31748382700768035,coefficient
logistic_regression,available,36,categorical__presenting_complaint_breathing problem shortness of breath,0.29437752727896044,coefficient
logistic_regression,available,37,categorical__presenting_complaint_vaginal bleeding,0.2922668389377314,coefficient
logistic_regression,available,38,categorical__time_bin_late night,0.28611733615487556,coefficient
logistic_regression,available,39,numeric__sbp,0.28594339117732853,coefficient
logistic_regression,available,40,categorical__time_bin_afternoon,0.2602309382963461,coefficient
logistic_regression,available,41,numeric__temperature,0.22256650432256164,coefficient
logistic_regression,available,42,categorical__presenting_complaint_rectal bleeding,0.2132693400782119,coefficient
logistic_regression,available,43,categorical__presenting_complaint_ear problem,0.2032346223506932,coefficient
logistic_regression,available,44,categorical__presenting_complaint_skin infection,0.19938996738451903,coefficient
logistic_regression,available,45,categorical__presenting_complaint_eye problem,0.19821484562218633,coefficient
logistic_regression,available,46,categorical__presenting_complaint_major emergency,0.1622231620180934,coefficient
logistic_regression,available,47,categorical__season_spring,0.1516638015750513,coefficient
logistic_regression,available,48,categorical__time_bin_morning,0.15096907028295617,coefficient
logistic_regression,available,49,categorical__presenting_complaint_urinary problem,0.14685599258445176,coefficient
logistic_regression,available,50,numeric__hour,0.14279756135785535,coefficient
random_forest_unweighted,unavailable,,,,
random_forest,unavailable,,,,
extra_trees,unavailable,,,,
hist_gradient_boosting,unavailable,,,,
xgboost,available,1,numeric__o2sat,0.04822370409965515,feature_importances
xgboost,available,2,numeric__pain,0.04065650701522827,feature_importances
xgboost,available,3,categorical__presenting_complaint_injury,0.03684224933385849,feature_importances
xgboost,available,4,numeric__heartrate,0.025431454181671143,feature_importances
xgboost,available,5,categorical__presenting_complaint_chest pain,0.02505067177116871,feature_importances
xgboost,available,6,numeric__temperature,0.024414855986833572,feature_importances
